Property ,Barangay,Land Area,Floor Area,Classification,No. of storey,Structural Type,Roof Framing,Roofing,Exterior Walls,Flooring,Doors,Ceiling,Windows,Stairs,Wall Finish,Electrical Conduit,Toilet & Bowl,Plumbing,Market Value
Property 114,Canelar,450,140,Residential,1,,Steel,GI,CHB,Tiles,PANEL,Plywood,Glass,RC,Cement Plaster,PVC,TILES,PVC,585000
Property 115,Canelar,794,95.05,Residential,1,3-B,,CORR./ GI,CHB,Concrete,WOOD,Plywood,Jalousie,WOODEN,,Polyflex,CHB,GI,395000
Property 116,Canelar,191,102,Residential,2,2-B,Lumber,GI,CHB,Wood,Plywood,Plywood,Jalousie,RC,SAND BLAST,,TILES,,250000
Property 117,Divisoria,307,54,Residential,1,2-B,Wooden,GI,CHB,Concrete,PANEL,Plywood,Jalousie,RC,Cement Plaster,TUBE,CHB,GI,120000
Property 118,Divisoria,351,45,Residential,1,,Wooden,GI,CHB,Wood,WOOD,Plywood,Wood,RC,Cement Plaster,UPVC,TILES,PVC,110700
Property 119,Divisoria,180,98.5,Residential,1,2-B,Wooden,GI,CHB,Concrete,PANEL,Plywood,Wood,WOODEN,Cement Plaster,Polyflex,TILES,GI,310000
Property 120,Divisoria,200,58.35,Residential,1,2-A,Steel,CORR./ GI,CHB,Concrete,HCPD/WFPD,Plywood,SCFW,RC,Cement Plaster,Polyflex,TILES,GI,230000
Property 121,Divisoria,242,46.22,Residential,1,2-A,Steel,GI,PAINTED,Tiles,WOOD,Plywood,Wood,RC,Plain Cement Paint,PVC,TILES,PVC,305830
Property 122,Divisoria,242,60.62,Residential,1,2-B,Wooden,GI,PAINTED,Concrete,WOOD,Plywood,Glass,RC,CHB,PAINTED,,,374960
Property 123,Divisoria,325,144,Residential,1,1-C,Steel,GI,CHB,Tiles,PANEL,Plywood,French Window,CONC.,Plain Cement Paint,CONCEALED,TILES,GI,100000
Property 124,Divisoria,244,80,Residential,1,,Steel,GI,CHB,Tiles,Flush,Plywood,Jalousie,RC,Plain Cement Paint,Polyflex,TILES,GI,450000
Property 125,Divisoria,500,71.06,Residential,2,,Steel,GI,CHB,Tiles,PANEL,Plywood,Glass,RC,Plain Cement Paint,PVC,TILES,PVC,359400
Property 126,Divisoria,212,76,Residential,1,2-A,Steel,GI,CHB,Tiles,PANEL,Plywood,Glass,RC,Plain Cement Paint,PVC,TILES,PVC,500000
Property 127,San Jose Cawa Cawa,425,73.7,Residential,2,2-A,Steel,Long Span,CHB,Tiles,PANEL,Plywood,Glass,RC,CHB,,,,462520
Property 128,Canelar,286,145.6,Residential,2,2-A,RC,RC,CHB,Tiles,ROLL UP,Plywood,Glass,RC,Plain Cement Paint,Polyflex,TILES,PVC,580000
Property 129,San Jose Cawa Cawa,412,265.78,Residential,2,2-B,RC,RC,CHB,Tiles,WOOD,Plywood,Glass,RC,,,,,1120920
Property 130,San Jose Cawa Cawa,270,111.54,Residential,2,,C-Purlins,GI,CHB,Concrete,ROLL UP,,Jalousie,CONC.,Plain Cement Paint,Polyflex,CHB,GI,255000
Property 131,PUTIK,,583.5,Residential,2,2-B,Steel,Long Span,CHB,Concrete,ROLL UP,Plywood,Glass,RC,Plain Cement Paint,Polyflex,TILES,GI,2600000
Property 132,Canelar,328,327,Commercial,2,2-B,Steel,GI,CHB,Concrete,ROLL UP,Plywood,Glass,RC,Cement Plaster,PVC,TILES,PVC,592790
Property 133,Canelar,263,180,Commercial,1,,Lumber,GI,CHB,Wood,WOOD,Plywood,,CC,Cement Plaster,PVC,,,91650
Property 134,Canelar,325,216,Commercial,2,2-A,Lumber,GI,CHB,Wood,PANEL,Plywood,Glass,RC,Cement Plaster,,TILES,,684000
Property 135,Canelar,446,232,Commercial,2,2-B,Steel,GI,CHB,Concrete,Flush,Plywood,Glass,WOODEN,Cement Plaster,Polyflex,TILES,GI,504000
Property 136,Canelar,2552,2223,Commercial,2,2-A,Steel,GI,CHB,Tiles,GLASS,Plywood,Glass,CONC.,Plain Cement Paint,Polyflex,TILES,GI,14796577
Property 137,Canelar,328,327,Commercial,2,2-B,Steel,GI,CHB,Concrete,ROLL UP,Plywood,Glass,RC,Cement Plaster,PVC,TILES,PVC,592790
Property 138,Divisoria,10059,55.49,Commercial,1,2-A,Steel,Long Span,CHB,Tiles,GLASS,,Glass,CC,CHB,PVC,TILES,PVC,487760
Property 139,Divisoria,10059,451.4,Commercial,2,2-A,Steel,Long Span,CHB,Tiles,,,Glass,RC,CHB,PVC,TILES,PVC,3088810
Property 140,Divisoria,10059,216,Commercial,1,2-A,Steel,Long Span,,,,,,,,,,,987120
Property 141,Divisoria,10059,126.48,Commercial,1,2-A,Steel,Long Span,,,,,,,,,,,428770
Property 142,Divisoria,10059,289.6,Commercial,2,2-A,GI/STEEL,GI,CHB,Tiles,,,,WOODEN,,PVC,TILES,PVC,2193980
Property 143,San Jose Cawa Cawa,1452,375,Commercial,2,,Steel,GI,CHB,Tiles,GLASS,,,WOODEN,Cement Plaster,BREAKERS,TILES,PVC,1528600
Property 144,San Jose Cawa Cawa,433,46.22,Commercial,2,2-B,Wooden,GI,CHB,Concrete,PANEL,Plywood,Glass,WOODEN,Cement Plaster,Polyflex,TILES,GI,205000
