brgy,land_area,floor_area,classification,storey,roof_framing,roofing,ext_walls,flooring,doors,ceiling,windows,wall_finish,elect_conduit,toilet,plumbing,target_value
6,403.0,207.54,1,1,5.0,7,2.0,1.0,2.0,0.0,6.0,1.0,2.0,1.0,2.0,450000.0
6,633.0,108.0,1,1,6.0,2,2.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,280000.0
6,250.0,66.55,1,1,2.0,2,3.0,2.0,0.0,0.0,3.0,3.0,8.0,1.0,2.0,185000.0
6,217.0,324.79,1,2,5.0,3,2.0,1.0,6.0,0.0,2.0,2.0,8.0,0.0,2.0,1700000.0
6,200.0,245.26,1,2,5.0,3,2.0,1.0,0.0,0.0,2.0,2.0,8.0,1.0,2.0,1300000.0
6,150.0,353.76,1,3,5.0,3,1.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,2324200.0
6,247.0,637.0,1,3,5.0,3,1.0,1.0,6.0,3.0,5.0,1.0,8.0,1.0,2.0,2854000.0
6,2000.0,435.0,0,1,5.0,1,1.0,1.0,5.0,0.0,2.0,1.0,8.0,1.0,2.0,1776670.0
4,65.0,10.5,1,1,2.0,2,2.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,2.0,60270.0
4,141.0,45.5,1,1,2.0,2,4.0,2.0,6.0,0.0,3.0,1.0,6.0,0.0,2.0,185600.0
4,160.0,81.15,1,1,2.0,2,2.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,2.0,238190.0
4,139.0,119.88,1,1,2.0,2,2.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,2.0,345254.0
4,68.0,47.15,1,1,2.0,2,2.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,2.0,226500.0
4,150.0,83.85,1,1,2.0,2,2.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,2.0,321984.0
4,69.0,147.16,1,2,2.0,2,2.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,2.0,353184.0
4,138.0,126.3,1,2,0.0,2,2.0,0.0,0.0,0.0,3.0,3.0,7.0,0.0,2.0,356933.0
4,81.0,143.0,1,2,2.0,2,2.0,1.0,0.0,0.0,3.0,3.0,7.0,1.0,2.0,326304.0
4,52.0,42.4,1,1,2.0,2,2.0,0.0,0.0,0.0,3.0,2.0,7.0,0.0,2.0,203520.0
4,63.0,26.0,1,1,2.0,2,2.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,2.0,124800.0
4,156.0,85.5,1,1,2.0,2,2.0,1.0,0.0,0.0,3.0,3.0,7.0,0.0,2.0,320292.0
4,48.0,82.5,1,2,2.0,2,2.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,2.0,277200.0
4,168.0,68.0,1,1,2.0,2,2.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,2.0,326400.0
4,206.0,191.92,1,2,5.0,3,2.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,973250.0
4,413.0,156.9,1,1,5.0,3,2.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,857560.0
4,412.0,199.6,1,2,5.0,3,2.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,984290.0
4,242.0,154.2,1,2,6.0,2,2.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,773050.0
4,416.0,244.35,1,2,5.0,3,2.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,1135840.0
4,141.0,40.0,1,1,6.0,2,2.0,1.0,6.0,0.0,2.0,3.0,7.0,1.0,2.0,192000.0
4,141.0,48.0,1,1,6.0,2,2.0,1.0,6.0,0.0,2.0,3.0,7.0,1.0,2.0,230400.0
4,75.0,51.0,1,1,6.0,2,2.0,1.0,6.0,0.0,2.0,3.0,7.0,1.0,2.0,240000.0
4,88.0,63.0,1,2,6.0,2,2.0,0.0,6.0,0.0,2.0,1.0,4.0,0.0,2.0,195000.0
4,58.0,42.0,1,1,6.0,2,2.0,0.0,6.0,0.0,2.0,1.0,7.0,0.0,2.0,182000.0
4,765.0,111.8,1,1,6.0,2,2.0,0.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,613720.0
4,765.0,204.5,1,2,5.0,3,1.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,952040.0
4,42.0,90.0,1,2,2.0,2,2.0,1.0,0.0,0.0,3.0,1.0,6.0,1.0,2.0,361620.0
4,765.0,111.8,1,1,6.0,2,2.0,0.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,569730.0
